date,bank_name,close_price
7/11/2022,Citi,46.189999
7/11/2022,JPM,112.86
7/11/2022,BAC,31.459999
7/11/2022,WFC,39.790001
7/12/2022,Citi,46.130001
7/12/2022,JPM,112.97
7/12/2022,BAC,31.360001
7/12/2022,WFC,39.599998
7/13/2022,Citi,45.5
7/13/2022,JPM,111.91
7/13/2022,BAC,30.84
7/13/2022,WFC,39.07
7/14/2022,Citi,44.139999
7/14/2022,JPM,108
7/14/2022,BAC,30.129999
7/14/2022,WFC,38.740002
7/15/2022,Citi,49.98
7/15/2022,JPM,112.95
7/15/2022,BAC,32.25
7/15/2022,WFC,41.130001
7/18/2022,Citi,50.07
7/18/2022,JPM,111.79
7/18/2022,BAC,32.259998
7/18/2022,WFC,41.189999
7/19/2022,Citi,52.130001
7/19/2022,JPM,114.56
7/19/2022,BAC,33.349998
7/19/2022,WFC,42.900002
7/20/2022,Citi,52.450001
7/20/2022,JPM,114.54
7/20/2022,BAC,33.360001
7/20/2022,WFC,42.720001
7/21/2022,Citi,52.59
7/21/2022,JPM,115.32
7/21/2022,BAC,33.650002
7/21/2022,WFC,43.279999
7/22/2022,Citi,51.91
7/22/2022,JPM,114.76
7/22/2022,BAC,33.43
7/22/2022,WFC,43.169998
7/25/2022,Citi,52.16
7/25/2022,JPM,115.22
7/25/2022,BAC,33.73
7/25/2022,WFC,43.5
7/26/2022,Citi,51.400002
7/26/2022,JPM,113.42
7/26/2022,BAC,33.049999
7/26/2022,WFC,42.900002
7/27/2022,Citi,52.349998
7/27/2022,JPM,115.24
7/27/2022,BAC,33.59
7/27/2022,WFC,43.709999
7/28/2022,Citi,52.23
7/28/2022,JPM,114.81
7/28/2022,BAC,33.32
7/28/2022,WFC,43.32
7/29/2022,Citi,51.900002
7/29/2022,JPM,115.36
7/29/2022,BAC,33.810001
7/29/2022,WFC,43.869999
8/1/2022,Citi,51.919998
8/1/2022,JPM,114.21
8/1/2022,BAC,33.709999
8/1/2022,WFC,43.540001
8/2/2022,Citi,50.75
8/2/2022,JPM,112.43
8/2/2022,BAC,33.040001
8/2/2022,WFC,42.880001
8/3/2022,Citi,51.610001
8/3/2022,JPM,113.61
8/3/2022,BAC,33.639999
8/3/2022,WFC,43.889999
8/4/2022,Citi,51.259998
8/4/2022,JPM,112.36
8/4/2022,BAC,33.400002
8/4/2022,WFC,42.77
8/5/2022,Citi,51.66
8/5/2022,JPM,115.76
8/5/2022,BAC,33.959999
8/5/2022,WFC,43.759998
8/8/2022,Citi,51.470001
8/8/2022,JPM,114.35
8/8/2022,BAC,33.490002
8/8/2022,WFC,43.189999
8/9/2022,Citi,52.09
8/9/2022,JPM,115.38
8/9/2022,BAC,33.919998
8/9/2022,WFC,43.400002
8/10/2022,Citi,53.189999
8/10/2022,JPM,118.39
8/10/2022,BAC,35.07
8/10/2022,WFC,44.330002
8/11/2022,Citi,54
8/11/2022,JPM,120.14
8/11/2022,BAC,35.91
8/11/2022,WFC,45.25
8/12/2022,Citi,54.380001
8/12/2022,JPM,122.13
8/12/2022,BAC,36.299999
8/12/2022,WFC,45.939999
8/15/2022,Citi,54.07
8/15/2022,JPM,122.46
8/15/2022,BAC,36.25
8/15/2022,WFC,45.75
8/16/2022,Citi,54.18
8/16/2022,JPM,123.63
8/16/2022,BAC,36.639999
8/16/2022,WFC,46.060001
8/17/2022,Citi,53.759998
8/17/2022,JPM,122.59
8/17/2022,BAC,36.41
8/17/2022,WFC,46.139999
8/18/2022,Citi,53.549999
8/18/2022,JPM,121.64
8/18/2022,BAC,36.279999
8/18/2022,WFC,46.139999
8/19/2022,Citi,52.610001
8/19/2022,JPM,118.63
8/19/2022,BAC,35.48
8/19/2022,WFC,45.349998
8/22/2022,Citi,51.25
8/22/2022,JPM,116.67
8/22/2022,BAC,34.720001
8/22/2022,WFC,44.41
8/23/2022,Citi,50.950001
8/23/2022,JPM,115.52
8/23/2022,BAC,34.41
8/23/2022,WFC,44.369999
8/24/2022,Citi,51.009998
8/24/2022,JPM,115.8
8/24/2022,BAC,34.52
8/24/2022,WFC,44.639999
8/25/2022,Citi,52.060001
8/25/2022,JPM,118.55
8/25/2022,BAC,35.139999
8/25/2022,WFC,45.389999
8/26/2022,Citi,49.779999
8/26/2022,JPM,114.67
8/26/2022,BAC,34.029999
8/26/2022,WFC,43.970001
8/29/2022,Citi,49.369999
8/29/2022,JPM,114.39
8/29/2022,BAC,33.900002
8/29/2022,WFC,43.919998
8/30/2022,Citi,49.080002
8/30/2022,JPM,114.41
8/30/2022,BAC,34.09
8/30/2022,WFC,44.139999
8/31/2022,Citi,48.810001
8/31/2022,JPM,113.73
8/31/2022,BAC,33.610001
8/31/2022,WFC,43.709999
9/1/2022,Citi,48.75
